START: 00:00
00:00 IDLE - UH-OH (Chorus 1, yuxchuu)
01:01 KARD - TOUCH (dancebreak, 18 Plus)
01:52 MISS A - BAD GIRL GOOD GIRL (Chorus 1, Chorus 2, lini.x.aylin_)
02:47 HYOLYN - LAYING LOW (chorus 2, 18 Plus)
03:32 XLOV - 1&ONLY (chorus 1, 18 Plus)
04:22 JENNIE - EXTRAL (Chorus 1, MAMA & 18 Plus)
05:11 BAEKHYUN - BAMBI (Chorus 1, fl0werrythm)
06:13 HYOLYN - SAY MY NAME (Dancebreak, Pool: andrea._.lxj)
07:20 LISA - FXCK UP THE WORLD (Chorus 1, paavzk)
08:17 ONLYONEOF - LIBIDO (dancebreak, 18 Plus)
09:32 E'LAST - APHRODITE (Chorus 1, ncity_25dream)
10:37 JEON WOONG - MOONDANCE (dancebreak, 18 Plus)
11:50 GIRL’S DAY - SOMETHING (Chorus 1, _ane_s_)
12:43 GIRLSET - LITTLE MISS (Chorus 1, sweettalkeri, paavzk, Andrea corinab683@gmail.com)
14:19 AESPA - DIRTY WORK (dancebreak, 18 Plus)
15:12 YEONJUN AND DANIELA - LET ME TELL YOU (TikTok Challenge, Andrea._.lxj)
15:54 HYOLYN - SHOTTY (chorus 1, 18 Plus)
16:47 BTS - BLOOD SWEAT AND TEARS (chorus 1, 18 Plus)
17:43 KATSEYE - GABRIELA (Chorus 2, Jewel)
18:38 LE SSERAFIM - SMART (chorus 1, 18 Plus)
19:27 HYOLYN - DALLY (Chorus 1, corinab683@gmail.com)
20:40 NMIXX - MEXE (Chorus 2, sweettalkeri)
21:16 EXID - UP&DOWN (chorus 1, 18 Plus)
21:56 HYUNA - LIP & HIP (Chorus 1, lenakyminh)
23:12 NCT WISH - DESIGN (Chorus 1, fl0werrythm)
23:45 HELLO VENUS - WIGGLE WIGGLE (chorus 1, 18 Plus)
24:27 JVCKY WAI - EZ (chorus 1, 18 Plus)
25:07 KAI - MMMH (Chorus 2, _z.yxz._.534)
25:55 KISS OF LIFE - NOBODY KNOWS (chorus 1, 18 Plus)
26:52 AOA - MINI SKIRT (chorus 1, 18 Plus)
27:53 HYUNA - RED (Chorus 1, lenakyminh)
28:33 B.M - FREAK (Dancebreak, _z.yxz._.534)
29:27 JAY PARK - MOMMAE (intro, 18 Plus)
30:02 TAEMIN - GUILTY (Chorus 1, ncity_25dream)
31:02 GFRIEND - SEASON OF MEMORIES (Chorus 1, yuxchuu)
31:55 KISS OF LIFE - STICKY (chorus 1, 18 Plus)
32:32 VIVIZ - SHHH! (Chorus 2, lini.x.aylin_)
33:18 BADVILLAIN - BADTITUDE (YAH-HO) (dancebreak, 18 Plus)
33:55 J-HOPE - KILLIN' IT GIRL (Dancebreak, @alexa_la_21)
34:21 KATSEYE - GNARLY (chorus 1, 18 Plus)
